ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,section,section_target_pct,layer,portfolio_weight,thesis
TPL,2026-07-25T05:39:45.972170+00:00,839025000.0,28930635776.0,34.48125595304073,31.053553104474886,33.758902916131184,35.382112803124954,1094000000.0,0.30389440123953393,26.444822464351006,931636894.4535055,0.11038037538035872,-0.1935140258591752,0.39457499543979735,0.0,Forward Expectations Manageable,31.053553104474886,Historical Median Tactical Anchor,low,2,quarterly,0.8553988260182951,0.7442162033312476,0.6002514823753762,-0.32631309169920736,629.4516129032259,42581000.0,0.05075057358243199,0.0845488517272738,Solid,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
CNI,2026-07-25T05:39:45.972170+00:00,17280000000.0,78322442240.0,4.532548740740741,3.5294937287136836,3.5782968535317554,3.6075787284225984,19030872000.0,0.1013236111111111,4.115546688559515,22190843293.70503,0.2841923202375596,0.18286870912644848,2.5916783428283936,64.34681590747648,Forward Expectations Stretched,3.5294937287136836,Historical Median Tactical Anchor,low,2,quarterly,0.4234953703703704,0.37766203703703705,0.2722800925925926,2.4110537303593014,7.1400437636761485,3572000000.0,0.20671296296296296,0.759192348565356,Solid,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
CP,2026-07-25T05:39:45.972170+00:00,14984000000.0,81991335936.0,5.471925783235451,4.4655763547087215,4.567021940149707,4.627889291414298,17153082920.0,0.14475993860117464,4.779976655998116,18360751093.091118,0.225357120467907,0.08059718186673237,1.503253796004706,35.76420469847553,Forward Expectations Elevated,4.4655763547087215,Historical Median Tactical Anchor,low,2,quarterly,0.3703950880939669,0.3703950880939669,0.27209022957821677,2.8753006253006252,6.25,2043000000.0,0.1363454351308062,0.5011037527593819,Solid,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
UNP,2026-07-25T05:39:45.972170+00:00,25410000000.0,182571286528.0,7.185017179378198,6.227073457751811,6.412982012435528,6.5245271452457585,27851262260.0,0.09607486265249898,6.55522485206026,29318955006.179504,0.15383530130576561,0.05776043865326663,1.559826362406056,37.5469337421201,Forward Expectations Elevated,6.227073457751811,Historical Median Tactical Anchor,low,2,quarterly,0.45623770169224714,0.4002754820936639,0.28846910665092484,2.2208446047490233,7.915175097276265,6504000000.0,0.25596221959858323,0.8873124147339699,Solid,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
LIN,2026-07-25T05:39:45.972170+00:00,34655000000.0,236851281920.0,6.834548605396047,6.268973318862954,6.476619897148387,6.601207844119647,37783698820.0,0.09028131063338618,6.268610255664747,37781510603.55116,0.09021816775504732,-6.314287833886212e-05,0.9993299534140314,0.0,Forward Expectations Manageable,6.268973318862954,Historical Median Tactical Anchor,low,2,quarterly,0.487664117731929,0.2715048333573799,0.20435723560813734,1.6662691906394396,20.19098712446352,5096000000.0,0.14704948780839705,0.7195707427280429,Solid,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ABBN.SW,2026-07-25T05:39:45.972170+00:00,35556000000.0,145181310976.0,4.083173331533356,4.015241562192769,4.237543913554125,4.37092532437094,41642469310.0,0.1711798095961301,3.4863761295043143,36157553344.490395,0.016918476332838273,-0.15426133326329183,0.10617543438228114,0.0,Forward Expectations Manageable,4.015241562192769,Historical Median Tactical Anchor,low,2,quarterly,0.40086061424232194,0.16931038362020476,0.1400326245921926,0.687038280725319,105.6140350877193,4159000000.0,0.11697041286983913,0.8353082948383209,Solid,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
GEV,2026-07-25T05:39:45.972170+00:00,41367000000.0,270262009856.0,6.533275554330746,6.62077488326203,6.89366116761476,7.057392938226398,52498702310.0,0.26909619527642814,5.147975053938052,40820298925.92315,-0.01321587434614191,-0.28231206962257005,0.0,100.0,Forward Expectations Stretched,6.62077488326203,Historical Median Tactical Anchor,low,2,quarterly,0.20214180385331304,0.04358546667633621,0.23035269659390337,-3.4362728785357737,,12438000000.0,0.3006744506490681,1.305278623150383,Solid,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ETN,2026-07-25T05:39:45.972170+00:00,28522000000.0,156900376576.0,5.50102996199425,4.717361061756593,4.809923720628547,4.86546131595172,35628454820.0,0.24915696024121736,4.403794028359718,33260200888.158295,0.16612442634311386,-0.0830325338981035,0.6908192556706906,0.0,Forward Expectations Manageable,4.717361061756593,Historical Median Tactical Anchor,low,2,quarterly,0.3689082112053853,0.18164925320804992,0.13989201318280625,3.417644223043548,16.5,3776000000.0,0.13238903302713695,0.9463659147869674,Watch: high leverage,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
NVT,2026-07-25T05:39:45.972170+00:00,4325800000.0,24547545088.0,5.674683315918442,4.402784325126827,4.405358946788944,4.4069037197862135,5782318790.0,0.3367050695825049,4.245277021123908,5575459362.818749,0.28888514559590117,-0.04781992398660373,0.8744689810428652,0.0,Forward Expectations Manageable,4.402784325126827,Historical Median Tactical Anchor,low,2,quarterly,0.37010495168523744,0.1577742845254057,0.11371307041472098,1.6488733318748632,9.087882822902797,381900000.0,0.08828424800036988,0.7763773124618825,Solid,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
CEG,2026-07-25T05:39:45.972170+00:00,29867000000.0,97970937856.0,3.2802403273177756,4.10335451881245,4.526588295898581,4.780528562150259,35604052210.0,0.19208665784980083,2.751679423402351,23875816093.1105,-0.2005954366655338,-0.39268209451533465,0.0,100.0,Forward Expectations Stretched,4.10335451881245,Historical Median Tactical Anchor,low,2,quarterly,0.22847959286168681,0.16851374426624702,0.12692938694880637,2.631924198250729,8.14401294498382,1137000000.0,0.03806877155388891,0.2999208652070694,Solid,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
